record_id,year,Site_Name,Total
1,2013,Admiralty Bay,1832
2,2013,Aitcho - Barrientos Island,5770
3,2013,Aitcho - Other,379
4,2013,Alexander Island,9
5,2013,Almirante Brown,19017
6,2013,Andresen Island,10
7,2013,Andvord Bay,1517
8,2013,Antarctic Sound,4756
9,2013,Arctowski Station,2906
10,2013,Ardley Island,156
11,2013,Argentine Islands Other,553
12,2013,Argentine Islands/Wordie Hut,878
13,2013,Armstrong Reefs,37
14,2013,Arturo Prat Station,156
15,2013,Astrolabe Island,1567
16,2013,Avian Island,36
17,2013,Baily Head,3459
18,2013,Barcroft Islands,18
19,2013,Bellingshausen Sea,95
20,2013,Bellingshausen Station,2663
21,2013,Berthelot Islands,47
22,2013,Bismarck Strait,1976
23,2013,Bongrain Point,482
24,2013,Booth Island,2807
25,2013,Borgeois Fjord,72
26,2013,Bransfield Strait,314
27,2013,Brown Bluff,7055
28,2013,Bruce Island,36
29,2013,Cape Adare,7
30,2013,Cape Bird,97
31,2013,Cape Evans,672
32,2013,Cape Evensen,8
33,2013,Cape Hallett,72
34,2013,Cape Lookout,784
35,2013,Cape Perez,49
36,2013,Cape Renard,64
37,2013,Cape Royds,414
38,2013,Cape Shirreff,2
39,2013,Cape Tuxen,310
40,2013,Charlotte Bay,1680
41,2013,Christiania Islands,282
42,2013,Cierva Cove,5198
43,2013,Commonwealth Bay,103
44,2013,Coulman Island,103
45,2013,Crystal Sound,700
46,2013,Curtiss Bay,516
47,2013,Cuverville Island,24779
48,2013,Dallmann Bay,3719
49,2013,Damoy Point/Dorian Bay,5156
50,2013,Danco Island,13009
51,2013,Darbel Bay,10
52,2013,Debenham Island,213
53,2013,Deception Island,5261
54,2013,Deloncle Bay,228
55,2013,Desolation Island,82
56,2013,Detaille Island,2977
57,2013,Devil Island,273
58,2013,Discovery Bay,205
59,2013,Doumer Island,34
60,2013,Duchaylard Islands,49
61,2013,Duthiers Point,30
62,2013,Edinburgh Hill,70
63,2013,Elephant Island,14133
64,2013,English Strait,830
65,2013,Enterprise Island,2245
66,2013,Erebus and Terror Gulf,5
67,2013,Errera Channel,5650
68,2013,Esperanza Station,1584
69,2013,False Bay,399
70,2013,Ferguson Channel,996
71,2013,Fildes Peninsula,148
72,2013,Fildes Station,780
73,2013,Fish Islands,356
74,2013,Flanders Bay,37
75,2013,Fort Point,121
76,2013,Fournier Bay,373
77,2013,Foyn Harbour,1856
78,2013,Franklin Island,132
79,2013,Frei Station,4014
80,2013,Fridtjof Sound,428
81,2013,Fumarole Bay,24
82,2013,Gabriel de Castilla Station,30
83,2013,Georges Point,872
84,2013,Gerlache Strait,22903
85,2013,Gibbs Island,287
86,2013,Girard Bay,11
87,2013,Goudier Island,22861
88,2013,Gourdin Island,1669
89,2013,Graham Passage,584
90,2013,Great Wall Station,3328
91,2013,Gunnel Channel,336
92,2013,Half Moon Island,15642
93,2013,Hannah Point,2910
94,2013,Hanusse Bay,574
95,2013,Hidden Bay,160
96,2013,Hope Bay,3477
97,2013,Horseshoe Island,792
98,2013,Hovgaard Island,465
99,2013,Hunt Island,21
100,2013,Hydrurga Rocks,1472
101,2013,Inexpressible Island,55
102,2013,Jabet Peak,206
103,2013,Jenny Island,223
104,2013,Jougla Point,11585
105,2013,Jubany,18
106,2013,Kinnes Cove/Madder Cliffs,235
107,2013,Lautaro Island,15
108,2013,Leith Cove,1521
109,2013,Lemaire Channel,33603
110,2013,Lemaire Island,12
111,2013,Lindblad Cove,255
112,2013,Livingston Island,239
113,2013,"Maxwell Bay, King George",2491
114,2013,McFarlane Strait,52
115,2013,McMurdo Ice Channel,82
116,2013,McMurdo Station,122
117,2013,Melchior Islands,2164
118,2013,Mikkelsen Harbor (D'Hainaut),4739
119,2013,Mount Banck,27
120,2013,Mount Demaria,101
121,2013,Mount Erebus Summit,62
122,2013,Mount Scott,64
123,2013,Mount Shackleton,24
124,2013,Mudge Passage,153
125,2013,Murray Island,7
126,2013,Nansen Island,33
127,2013,Neko Harbor,25891
128,2013,Nelson Island,33
129,2013,Neptunes Bellows,1681
130,2013,Neumayer Channel,19517
131,2013,Neumayer Station,305
132,2013,Novo Airbase,127
133,2013,O'Higgins Station,132
134,2013,Orcadas,115
135,2013,Orne Harbor,5123
136,2013,Orne Islands,426
137,2013,Palaver Point,12
138,2013,Palmer Station,9272
139,2013,Paradise Bay,23920
140,2013,Paulet Island,57
141,2013,Peltier Channel,2517
142,2013,Pendulum Cove,891
143,2013,Penguin Island,1470
144,2013,Penola Strait,981
145,2013,Peter I Island,270
146,2013,Petermann Island,17661
147,2013,Petrel Cove,348
148,2013,Pitt Islands,74
149,2013,Plata Passage,8
150,2013,Pl_neau Island,11412
151,2013,Point Wild,2798
152,2013,Porquois Pas Island,12
153,2013,Port Charcot,4055
154,2013,Port Foster,1398
155,2013,Portal Point,3293
156,2013,Prospect Point,742
157,2013,Pursuit Point,8
158,2013,Red Rock Ridge,12
159,2013,Robert Point,480
160,2013,Ronge Island Other,1148
161,2013,Ronge Island/Georges Point,742
162,2013,Rosamel Island,158
163,2013,Ross Ice Shelf,222
164,2013,San Martin Station,6
165,2013,Scott Base,302
166,2013,Scott Island,4
167,2013,Skontorp Cove,6100
168,2013,Snow Island,157
169,2013,South Bay,199
170,2013,Spert Island,629
171,2013,Spigot Peak,194
172,2013,Sterneck Island,14
173,2013,Stonington Island,370
174,2013,Taylor Valley/Canada Glacier,129
175,2013,Telefon Bay,5535
176,2013,The Gullet,666
177,2013,Torgersen Island,1422
178,2013,Trinity Island Other,77
179,2013,Turret Point,846
180,2013,Union Glacier,682
181,2013,Useful Island,568
182,2013,Vega Island/Herbert Sound,291
183,2013,Vernadsky Station,11686
184,2013,View Point,94
185,2013,Waddington Bay,241
186,2013,Walker Bay (by Hannah Point),1209
187,2013,Waterboat Point/Gonzalez Videla Station,3781
188,2013,Weddell Sea,125
189,2013,Whalers Bay,21259
190,2013,Wiggins Glacier,33
191,2013,Wilhelmina Bay,8224
192,2013,Winter Island,990
193,2013,Yalour Islands,2671
194,2013,Yankee Harbor,3102
195,2012,Admiralty Bay,1682
196,2012,Aitcho - Barrientos Island,8009
197,2012,Aitcho - Other,7
198,2012,Alcock Island,8
199,2012,Almirante Brown,11810
200,2012,Amery Ice Shelf,285
201,2012,Andvord Bay,4247
202,2012,Antarctic Sound,4480
203,2012,Arctowski Station,937
204,2012,Ardley Island,412
205,2012,Argentine Islands Other,41
206,2012,Argentine Islands/Wordie Hut,519
207,2012,Artigas station,12
208,2012,Arturo Prat Station,130
209,2012,"Astrolabe Glacier Area, or Vicinity",37
210,2012,Astrolabe Island,693
211,2012,Baily Head,3003
212,2012,Beascochea Bay,8
213,2012,Bellingshausen Sea,138
214,2012,Bellingshausen Station,1602
215,2012,Bennett Islands,7
216,2012,Bismarck Strait,11152
217,2012,Blaiklock Island,167
