"rgn_name","rgn_id","product","year","tonnes_orig","tonnes","usd_orig","usd","n_years"
"New Caledonia",5,"fish_oil",1977,0,0,,,33
"New Caledonia",5,"fish_oil",1978,0,0,,,33
"New Caledonia",5,"fish_oil",1979,0,0,,,33
"New Caledonia",5,"fish_oil",1980,0,0,,,33
"New Caledonia",5,"fish_oil",1981,0,0,,,33
"New Caledonia",5,"fish_oil",1982,0,0,,,33
"New Caledonia",5,"fish_oil",1983,0,0,,,33
"New Caledonia",5,"fish_oil",1984,0,0,,,33
"New Caledonia",5,"fish_oil",1985,0,0,,,33
"New Caledonia",5,"fish_oil",1986,0,0,,,33
"New Caledonia",5,"fish_oil",1987,0,0,,,33
"New Caledonia",5,"fish_oil",1988,0,0,,,33
"New Caledonia",5,"fish_oil",1989,0,0,,,33
"New Caledonia",5,"fish_oil",1990,0,0,,,33
"New Caledonia",5,"fish_oil",1991,0,0,,,33
"New Caledonia",5,"fish_oil",1992,0,0,,,33
"New Caledonia",5,"fish_oil",1993,0,0,,,33
"New Caledonia",5,"fish_oil",1994,0,0,,,33
"New Caledonia",5,"fish_oil",1995,0,0,,,33
"New Caledonia",5,"fish_oil",1996,0,0,,,33
"New Caledonia",5,"fish_oil",1997,0,0,,,33
"New Caledonia",5,"fish_oil",1998,0,0,,,33
"New Caledonia",5,"fish_oil",1999,0,0,,,33
"New Caledonia",5,"fish_oil",2000,0,0,,,33
"New Caledonia",5,"fish_oil",2001,0,0,,,33
"New Caledonia",5,"fish_oil",2002,0,0,,,33
"New Caledonia",5,"fish_oil",2003,0,0,,,33
"New Caledonia",5,"fish_oil",2004,0,0,,,33
"New Caledonia",5,"fish_oil",2005,0,0,,,33
"New Caledonia",5,"fish_oil",2006,0,0,,,33
"New Caledonia",5,"fish_oil",2007,0,0,,,33
"New Caledonia",5,"fish_oil",2008,0,0,,,33
"New Caledonia",5,"fish_oil",2009,0,0,,,33
"New Caledonia",5,"ornamentals",1984,3,3,23,23,26
"New Caledonia",5,"ornamentals",1985,0,0,0,0,26
"New Caledonia",5,"ornamentals",1986,3,3,45,45,26
"New Caledonia",5,"ornamentals",1987,5,5,62,62,26
"New Caledonia",5,"ornamentals",1988,0,0,0,0,26
"New Caledonia",5,"ornamentals",1989,0,0,0,0,26
"New Caledonia",5,"ornamentals",1990,0,0,0,0,26
"New Caledonia",5,"ornamentals",1991,0,0,0,0,26
"New Caledonia",5,"ornamentals",1992,0,0,0,0,26
"New Caledonia",5,"ornamentals",1993,0,0,0,0,26
"New Caledonia",5,"ornamentals",1994,0,0,0,0,26
"New Caledonia",5,"ornamentals",1995,0,0,0,0,26
