"rgn_name","rgn_id","product","year","tonnes","usd","tonnes_orig","usd_orig","n_years","tonnes_peak","usd_peak","usd_peak_product_weight","usd_rel","tonnes_rel"
"Democratic Republic of the Congo",199,"ornamentals",1995,,455.666666666667,,549,16,,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1996,,431.75,,458,16,,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1997,,358.25,,360,16,,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1998,,320,,360,16,,296.183333333333,1,1,1
"Democratic Republic of the Congo",199,"ornamentals",1999,,261.75,,255,16,,296.183333333333,1,0.883743177086264,0.883743177086264
"Democratic Republic of the Congo",199,"ornamentals",2000,,238.75,,305,16,,296.183333333333,1,0.806088571267796,0.806088571267796
"Democratic Republic of the Congo",199,"ornamentals",2001,,247.5,,127,16,,296.183333333333,1,0.835631084350909,0.835631084350909
"Democratic Republic of the Congo",199,"ornamentals",2002,,228.25,,268,16,,296.183333333333,1,0.77063755556806,0.77063755556806
"Democratic Republic of the Congo",199,"ornamentals",2003,,261.25,,290,16,,296.183333333333,1,0.882055033481515,0.882055033481515
"Democratic Republic of the Congo",199,"ornamentals",2004,,261.25,,228,16,,296.183333333333,1,0.882055033481515,0.882055033481515
"Democratic Republic of the Congo",199,"ornamentals",2005,,260,,259,16,,296.183333333333,1,0.877834674469642,0.877834674469642
"Democratic Republic of the Congo",199,"ornamentals",2006,,268,,268,16,,296.183333333333,1,0.904844972145631,0.904844972145631
"Democratic Republic of the Congo",199,"ornamentals",2007,,275.5,,285,16,,296.183333333333,1,0.93016712621687,0.93016712621687
"Democratic Republic of the Congo",199,"ornamentals",2008,,280,,260,16,,296.183333333333,1,0.945360418659614,0.945360418659614
"Democratic Republic of the Congo",199,"ornamentals",2009,,278.333333333333,,289,16,,296.183333333333,1,0.93973327331045,0.93973327331045
"Democratic Republic of the Congo",199,"ornamentals",2010,,287.5,,286,16,,296.183333333333,1,0.970682572730854,0.970682572730854
