loiczid,mean_cat_score,mean_popn_trend_score,n_cat_species,n_trend_species,source
34969,0.1,-0.25,8,4,iucn
34970,0.1,-0.25,8,4,iucn
34971,0.1,-0.25,8,4,iucn
35688,0.0857142857142857,-0.166666666666667,7,3,iucn
35689,0.0857142857142857,-0.166666666666667,7,3,iucn
35690,0.0857142857142857,-0.166666666666667,7,3,iucn
35691,0.1,-0.25,8,4,iucn
36406,0.0857142857142857,-0.166666666666667,7,3,iucn
36407,0.0857142857142857,-0.166666666666667,7,3,iucn
36408,0.0857142857142857,-0.166666666666667,7,3,iucn
36409,0.1,-0.25,8,4,iucn
36410,0.1,-0.25,8,4,iucn
36411,0.1,-0.25,8,4,iucn
37125,0.0857142857142857,-0.166666666666667,7,3,iucn
37126,0.0857142857142857,-0.166666666666667,7,3,iucn
37127,0.1,-0.25,8,4,iucn
37128,0.1,-0.25,8,4,iucn
37129,0.1,-0.25,8,4,iucn
37842,0.1,-0.25,8,4,iucn
37843,0.0857142857142857,-0.166666666666667,7,3,iucn
37844,0.0857142857142857,-0.166666666666667,7,3,iucn
37845,0.1,-0.25,8,4,iucn
37846,0.1,-0.25,8,4,iucn
37847,0.1,-0.25,8,4,iucn
38560,0.1,-0.25,8,4,iucn
38561,0.0857142857142857,-0.166666666666667,7,3,iucn
38562,0.0857142857142857,-0.166666666666667,7,3,iucn
38563,0.1,-0.25,8,4,iucn
38564,0.1,-0.25,8,4,iucn
38565,0.1,-0.25,8,4,iucn
39280,0.0857142857142857,-0.166666666666667,7,3,iucn
39281,0.0857142857142857,-0.166666666666667,7,3,iucn
39282,0.0857142857142857,-0.166666666666667,7,3,iucn
39283,0.1,-0.25,8,4,iucn
39999,0.0857142857142857,-0.166666666666667,7,3,iucn
40000,0.0857142857142857,-0.166666666666667,7,3,iucn
40001,0.0857142857142857,-0.166666666666667,7,3,iucn
40002,0.0857142857142857,-0.166666666666667,7,3,iucn
40003,0.1,-0.25,8,4,iucn
40719,0.0857142857142857,-0.166666666666667,7,3,iucn
40720,0.0857142857142857,-0.166666666666667,7,3,iucn
40721,0.0857142857142857,-0.166666666666667,7,3,iucn
40722,0.0857142857142857,-0.166666666666667,7,3,iucn
40723,0.1,-0.25,8,4,iucn
40724,0.1,-0.25,8,4,iucn
41439,0.0857142857142857,-0.166666666666667,7,3,iucn
41440,0.0857142857142857,-0.166666666666667,7,3,iucn
41441,0.0857142857142857,-0.166666666666667,7,3,iucn
41442,0.0857142857142857,-0.166666666666667,7,3,iucn
41443,0.1,-0.25,8,4,iucn
41444,0.1,-0.25,8,4,iucn
42159,0.075,-0.25,8,4,iucn
42160,0.075,-0.25,8,4,iucn
42161,0.075,-0.25,8,4,iucn
42162,0.075,-0.25,8,4,iucn
42163,0.0888888888888889,-0.3,9,5,iucn
42164,0.0888888888888889,-0.3,9,5,iucn
42175,0.1,-0.2,8,5,iucn
42176,0.1,-0.2,8,5,iucn
42879,0.075,-0.25,8,4,iucn
42880,0.0666666666666667,-0.2,9,5,iucn
42881,0.0666666666666667,-0.2,9,5,iucn
42882,0.0666666666666667,-0.2,9,5,iucn
42883,0.0666666666666667,-0.2,9,5,iucn
42884,0.0666666666666667,-0.2,9,5,iucn
42885,0.08,-0.25,10,6,iucn
42886,0.08,-0.25,10,6,iucn
42887,0.0888888888888889,-0.2,9,5,iucn
42888,0.2,-0.5,1,1,iucn
42889,0.0888888888888889,-0.2,9,5,iucn
42890,0.0888888888888889,-0.2,9,5,iucn
42891,0.1,-0.2,8,5,iucn
42892,0.1,-0.2,8,5,iucn
42893,0.1,-0.2,8,5,iucn
42894,0.1,-0.2,8,5,iucn
42895,0.1,-0.2,8,5,iucn
42896,0.0857142857142857,-0.125,7,4,iucn
43599,0.0666666666666667,-0.214285714285714,12,7,iucn
43600,0.06,-0.2,10,5,iucn
43601,0.0666666666666667,-0.2,9,5,iucn
43602,0.0666666666666667,-0.2,9,5,iucn
43603,0.0666666666666667,-0.2,9,5,iucn
43604,0.0666666666666667,-0.2,9,5,iucn
43605,0.0666666666666667,-0.2,9,5,iucn
43606,0.08,-0.25,10,6,iucn
