"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","mean"
1,"ccamlr","CCAMLR 48.1","XAQ481","eez",213,"Antarctica","ATA","ATA",162,"Antarctica",173.237698921,121.540147073,669951.889614,22.2544535612891
2,"ccamlr","CCAMLR 48.2","XAQ482","eez",213,"Antarctica","ATA","ATA",163,"Antarctica",54.5363964785,114.924468896,695730.69854,6.56830297364897
3,"ccamlr","CCAMLR 48.3","XAQ483","eez",213,"Antarctica","ATA","ATA",164,"Antarctica",68.0855611351,37.3506372052,281919.707604,22.1368008331802
4,"ccamlr","CCAMLR 48.4","XAQ484","eez",213,"Antarctica","ATA","ATA",165,"Antarctica",60.7522866283,57.767082892,404149.034067,28.6806639361931
5,"ccamlr","CCAMLR 48.5","XAQ485","eez",213,"Antarctica","ATA","ATA",166,"Antarctica",319.208006196,719.065476285,2626411.9793,-9.78129836858866
6,"ccamlr","CCAMLR 48.6","XAQ486","eez",213,"Antarctica","ATA","ATA",167,"Antarctica",210.07070161,999.482777906,5981736.19483,4.51190233853988
7,"ccamlr","CCAMLR 58.4.1","XAQ5841","eez",213,"Antarctica","ATA","ATA",173,"Antarctica",193.12017681,762.066732736,4594812.78323,33.5065464700644
8,"ccamlr","CCAMLR 58.4.2","XAQ5842","eez",213,"Antarctica","ATA","ATA",174,"Antarctica",155.168434725,302.10992336,1560771.13438,10.1631521507332
9,"ccamlr","CCAMLR 58.4.3.a","XAQ5843a","eez",213,"Antarctica","ATA","ATA",175,"Antarctica",37.8648230089,77.9801462734,498502.294076,0.459301094246382
10,"ccamlr","CCAMLR 58.4.3.b","XAQ5843b","eez",213,"Antarctica","ATA","ATA",176,"Antarctica",43.2072205831,107.360471704,670903.58805,11.5005210420842
11,"ccamlr","CCAMLR 58.4.4.a","XAQ5844a","eez",213,"Antarctica","ATA","ATA",177,"Antarctica",50.0625843245,155.093800333,1074440.14187,-16.8548701615262
12,"ccamlr","CCAMLR 58.4.4.b","XAQ5844b","eez",213,"Antarctica","ATA","ATA",178,"Antarctica",58.000000001,203.99999882,1414463.37647,-19.4599908719733
13,"ccamlr","CCAMLR 58.5.1","XAQ5851","eez",213,"Antarctica","ATA","ATA",179,"Antarctica",67.4763097901,62.0707692658,514945.423,7.13742381422588
14,"ccamlr","CCAMLR 58.5.2","XAQ5852","eez",213,"Antarctica","ATA","ATA",180,"Antarctica",47.9668055416,33.0784182878,242297.905794,3.08977502163254
15,"ccamlr","CCAMLR 58.6","XAQ586","eez",213,"Antarctica","ATA","ATA",168,"Antarctica",56.6110998314,39.8499246366,330593.840505,-6.44942080819943
16,"ccamlr","CCAMLR 58.7","XAQ587","eez",213,"Antarctica","ATA","ATA",169,"Antarctica",21.1878007404,16.5504913367,138114.764789,19.9300636942675
17,"ccamlr","CCAMLR 88.1","XAQ881","eez",213,"Antarctica","ATA","ATA",170,"Antarctica",274.742391378,744.878924276,3024314.92591,-12.6835438730228
18,"ccamlr","CCAMLR 88.2","XAQ882","eez",213,"Antarctica","ATA","ATA",171,"Antarctica",338.087276981,1160.5159482,4968313.24391,10.304728807866
19,"ccamlr","CCAMLR 88.3","XAQ883","eez",213,"Antarctica","ATA","ATA",172,"Antarctica",218.837330425,458.379537094,2247746.65729,18.2630923817942
20,"eez","Australia","AUS","eez",16,"Australia","AUS","AUS",12,"Australia",811.713459089,642.178840457,6931124.04227,40.0649775666403
21,"eez","Cocos Islands","CCK","eez",1,"Cocos Islands","CCK","CCK",1,"Australian Tropical Territories",23.0057340791,38.8078252101,467246.244443,11.0523346447925
22,"eez","Christmas Island","CXR","eez",2,"Christmas Island","CXR","CXR",1,"Australian Tropical Territories",19.888280286,27.1615810104,327999.950114,34.835156126169
23,"eez","Norfolk Island","NFK","eez",3,"Norfolk Island","NFK","NFK",1,"Australian Tropical Territories",23.1373179941,39.9740076897,431137.891417,29.9079037523679
