"","cntry_key","sector","cur_adj_value"
"1","ABW","cf",91.3835505392
"2","ABW","mar",91.3835505392
"3","ABW","tour",92.2125811084
"4","AGO","cf",90.1973789912
"5","AGO","tour",90.1254250091
"6","AIA","cf",91.3835505392
"7","AIA","tour",92.2125811084
"8","ALB","cf",87.25179073
"9","ALB","mar",87.25179073
"10","ALB","tour",87.1261132301
"11","ANT","mmw",89.68839428
"12","ANT","tour",92.2125811084
"13","ARE","cf",95.99072178
"14","ARE","mar",96.87526435
"15","ARE","tour",87.8611835987
"16","ARG","cf",92.16259288
"17","ARG","mmw",89.92250516
"18","ARG","tour",92.8595335013
"19","ASM","cf",90.585864992
"20","ASM","mar",90.585864992
"21","ASM","mmw",92.9172946406
"22","ATA","mmw",NA
"23","ATG","cf",91.3835505392
"24","ATG","mar",91.3835505392
"25","ATG","mmw",91.3835505392
"26","ATG","tour",92.2125811084
"27","AUS","cf",95.76134204
"28","AUS","mar",94.60377799
"29","AUS","tour",95.4683241064
"30","Azores","mmw",NA
"31","BEL","cf",93.02440428
"32","BEL","tour",94.6196355223
"33","BEN","cf",91.0888686979
"34","BEN","mmw",91.0888686979
"35","BEN","tour",90.646944137
"36","BGD","cf",92.9170023532
"37","BGD","mmw",92.9170023532
"38","BGD","tour",92.7719708467
"39","BGR","tour",93.5299509699
"40","BHR","cf",88.3158118634
"41","BHR","mar",88.3158118634
"42","BHR","mmw",88.3158118634
"43","BHR","tour",87.8611835987
"44","BHS","mmw",91.29674619
"45","BHS","tour",92.2125811084
"46","BIH","tour",87.1261132301
"47","BLZ","cf",91.81380423
"48","BLZ","mmw",90.6028368
"49","BLZ","tour",95.0517220356
"50","BMU","cf",91.3835505392
"51","BMU","mmw",91.3835505392
"52","BMU","tour",92.2125811084
"53","BRA","mmw",91.60758205
"54","BRA","tour",92.8595335013
"55","BRB","cf",90.15151515
"56","BRB","tour",92.2125811084
"57","BRN","cf",95.0205533997
"58","BRN","mar",94.658881671
"59","BRN","tour",95.3601282008
"60","CAN","cf",92.81012644
"61","CAN","tour",92.8739866742
"62","CAN","wte",92.8739866742
"63","Canary Islands","mmw",NA
"64","CHL","cf",92.20354576
"65","CHL","mmw",92.31133411
"66","CHL","tour",92.8595335013
"67","CHN","cf",96.1294196435
"68","CHN","mar",96.1294196435
"69","CHN","mmw",96.1294196435
"70","CHN","tour",96.1869625203
"71","CIV","cf",91.8685389757
"72","CIV","tour",90.646944137
"73","CMR","cf",90.1883847434
"74","CMR","tour",90.1254250091
"75","COD","cf",90.1614020001
"76","COD","mar",90.1973789912
"77","COD","tour",90.1254250091
"78","COG","cf",90.2153674867
"79","COG","tour",90.1254250091
"80","COK","cf",95.3110964617
"81","COK","mmw",95.4180724194
"82","COL","mmw",87.96443888
"83","COL","tour",92.8595335013
"84","COM","cf",89.9498982319
"85","COM","tour",89.1240476647
"86","CPV","cf",91.3098309784
"87","CPV","tour",90.646944137
"88","CRI","mmw",94.02923615
"89","CRI","tour",95.0517220356
"90","CUB","cf",98.36574266
"91","CUB","mar",98.36574266
"92","CUB","tour",92.2125811084
"93","CYM","tour",92.2125811084
"94","CYP","cf",96.22166247
"95","CYP","mar",96.22166247
"96","CYP","mmw",96.22166247
"97","CYP","tour",87.8611835987
"98","DEU","cf",92.48833034
"99","DEU","mmw",92.48833034
"100","DEU","tour",94.6196355223
"101","DMA","cf",91.3835505392
"102","DMA","mmw",91.3835505392
"103","DMA","tour",92.2125811084
"104","DNK","cf",96.6796875
"105","DNK","mar",96.6796875
"106","DNK","mmw",96.6796875
"107","DNK","tour",92.7750378086
"108","DOM","cf",81.99957868
"109","DOM","mmw",85.80000019
"110","DOM","tour",92.2125811084
"111","DZA","tour",89.8486912641
"112","ECU","cf",93.93445324
