"","cntry_key","sector","ref_adj_value"
"1","ABW","cf",89.3104095835
"2","ABW","mar",89.3104095835
"3","ABW","tour",90.1398624799
"4","AGO","cf",90.2603387255
"5","AGO","tour",90.1703962479
"6","AIA","cf",89.3104095835
"7","AIA","tour",90.1398624799
"8","ALB","cf",86.8025818923
"9","ALB","mar",86.8025818923
"10","ALB","tour",86.7941184118
"11","ANT","mmw",83.77991755
"12","ANT","tour",81.83977302
"13","ARE","cf",89.4523825251
"14","ARE","mar",89.2250683928
"15","ARE","tour",96.87526435
"16","ARG","cf",83.91838711
"17","ARG","mmw",87.20000034
"18","ARG","tour",89.41115247
"19","ASM","cf",89.0625380711
"20","ASM","mar",89.0625380711
"21","ASM","mmw",91.1645778233
"22","ATA","mmw",NA
"23","ATG","cf",89.3104095835
"24","ATG","mar",89.3104095835
"25","ATG","mmw",87.2348134505
"26","ATG","tour",90.1398624799
"27","AUS","cf",93.63694235
"28","AUS","mar",93.06917607
"29","AUS","tour",94.95393686
"30","Azores","mmw",NA
"31","BEL","cf",91.82571662
"32","BEL","tour",91.55978733
"33","BEN","cf",92.0239238558
"34","BEN","mmw",94.9249328825
"35","BEN","tour",91.709922222
"36","BGD","cf",95.67835942
"37","BGD","mmw",93.457641968
"38","BGD","tour",95.74614343
"39","BGR","tour",89.92762364
"40","BHR","cf",89.6796966575
"41","BHR","mar",89.6796966575
"42","BHR","mmw",90.5889531869
"43","BHR","tour",88.9977542604
"44","BHS","mmw",92.44264076
"45","BHS","tour",89.7957454
"46","BIH","tour",86.7941184118
"47","BLZ","cf",93.4266555158
"48","BLZ","mmw",85.68841638
"49","BLZ","tour",88.96639074
"50","BMU","cf",89.3104095835
"51","BMU","mmw",87.2348134505
"52","BMU","tour",90.1398624799
"53","BRA","mmw",91.09811797
"54","BRA","tour",90.69981544
"55","BRB","cf",85.2897474
"56","BRB","tour",90.9
"57","BRN","cf",94.658881671
"58","BRN","mar",95.808469903
"59","BRN","tour",94.6388776012
"60","CAN","cf",92.4200534
"61","CAN","tour",93.23684576
"62","CAN","wte",93.23684576
"63","Canary Islands","mmw",NA
"64","CHL","cf",91.50339399
"65","CHL","mmw",93.66300285
"66","CHL","tour",91.99584894
"67","CHN","cf",95.69999973
"68","CHN","mar",95.69999973
"69","CHN","mmw",96.89999919
"70","CHN","tour",95.7999999
"71","CIV","cf",94.0344473942
"72","CIV","tour",91.709922222
"73","CMR","cf",90.2153674867
"74","CMR","tour",90.1703962479
"75","COD","cf",90.2063732389
"76","COD","mar",90.2333559822
"77","COD","tour",90.1703962479
"78","COG","cf",90.2603387255
"79","COG","tour",90.1703962479
"80","COK","cf",91.844061199
"81","COK","mmw",95.19536818
"82","COL","mmw",84.99512488
"83","COL","tour",88.99277779
"84","COM","cf",90.7757487992
"85","COM","tour",89.9498982319
"86","CPV","cf",92.251086422
"87","CPV","tour",91.709922222
"88","CRI","mmw",94.42663558
"89","CRI","tour",93.38390223
"90","CUB","cf",98.14563675
"91","CUB","mar",98.14563675
"92","CUB","tour",98.0999999
"93","CYM","tour",96.5
"94","CYP","cf",95.89442815
"95","CYP","mar",95.89442815
"96","CYP","mmw",90.5889531869
"97","CYP","tour",94.56521739
"98","DEU","cf",90.73281863
"99","DEU","mmw",90.78822649
"100","DEU","tour",88.85288241
"101","DMA","cf",88.8955234154
"102","DMA","mmw",87.2348134505
"103","DMA","tour",90.1398624799
"104","DNK","cf",94.59345398
"105","DNK","mar",94.59345398
"106","DNK","mmw",94.96109664
"107","DNK","tour",95.17011347
"108","DOM","cf",81.63782676
"109","DOM","mmw",85.60000237
"110","DOM","tour",81.99957868
"111","DZA","tour",84.72970174
"112","ECU","cf",90.8325566
"113","ECU","mar",91.44755921
"114","ECU","mmw",89.6575642839
"115","ECU","tour",92.26325165
"116","EGY","cf",81.1715341797
"117","EGY","mar",91.04760877
"118","EGY","mmw",91.78974952
"119","EGY","tour",88.75667688
"120","ESP","cf",89.53113922
"121","ESP","mar",89.53113922
"122","ESP","mmw",81.41934003
"123","ESP","tour",90.84293878
"124","EST","cf",89.24242424
"125","EST","mar",89.24242424
"126","EST","tour",92.12121212
"127","FIN","cf",91.03395651
"128","FIN","mar",91.03395651
"129","FIN","tour",91.62878788
"130","FJI","cf",89.0994544851
"131","FJI","mmw",95.3999997
"132","FJI","tour",95.3999997
"133","FLK","cf",93.4967228068
"134","FLK","mar",93.4967228068
"135","FLK","mmw",90.8122557627
"136","FRA","cf",91.29653696
"137","FRA","mar",91.38909259
"138","FRA","mmw",87.92680999
"139","FRA","tour",91.150281
"140","FRA","wte",91.41031357
"141","FSM","mmw",91.1645778233
"142","GAB","cf",90.1973789912
"143","GAB","mmw",90.2333559822
"144","GAB","tour",90.1703962479
"145","GBR","cf",95.25993884
"146","GBR","mar",95.39518203
"147","GBR","mmw",93.89837715
"148","GBR","tour",95.39518203
"149","GEO","mmw",85.5
"150","GHA","cf",95.8310199886
"151","GHA","mar",95.8310199886
"152","GHA","tour",91.709922222
"153","GIB","mmw",87.7198943246
"154","GIN","tour",91.709922222
"155","GLP","cf",89.3104095835
"156","GLP","tour",90.1398624799
"157","GMB","cf",94.9249328825
"158","GMB","mmw",94.9249328825
"159","GMB","tour",91.709922222
"160","GNQ","cf",90.2153674867
"161","GNQ","mar",90.2153674867
"162","GRC","cf",90.28732362
"163","GRC","mar",90.28732362
"164","GRC","mmw",89.23947424
"165","GRC","tour",90.15029128
"166","GRD","cf",89.3104095835
"167","GRD","mmw",84.75621696
"168","GRD","tour",90.1398624799
"169","GRL","mmw",88.40000047
"170","GTM","cf",97.23036741
