"sp_id","sp_type","sp_name","sp_key","rgn_type","rgn_id","rgn_name","rgn_key","cntry_id12","rgn_id12","rgn_name12","Shape_Leng","Shape_Area","area_km2","catch_pel_lb_gcs"
1,"eez","Australia","AUS","eez",16,"Australia","AUS","AUS",12,"Australia",811.713459093,642.178840464,6931124.04234,9.85266610809791
2,"eez","Cocos Islands","CCK","eez",1,"Cocos Islands","CCK","CCK",1,"Australian Tropical Territories",23.0057340792,38.8078252105,467246.244448,0.173924198930617
3,"eez","Christmas Island","CXR","eez",2,"Christmas Island","CXR","CXR",1,"Australian Tropical Territories",19.8882802861,27.1615810107,327999.950118,0.150370900832349
4,"eez","Norfolk Island","NFK","eez",3,"Norfolk Island","NFK","NFK",1,"Australian Tropical Territories",23.1373179943,39.9740076901,431137.891422,0.0540926006672089
5,"eez","Macquarie Island","AUS","eez",4,"Macquarie Island","AUS","Macquarie Island",2,"Australian Southern Ocean Territories",31.7338133463,66.6985867596,476361.337803,0.00212069994642661
6,"eez","New Caledonia","NCL","eez",5,"New Caledonia","NCL","NCL",3,"New Caledonia",85.8778284557,119.364649599,1369630.95356,0.56847340084787
7,"eez","Vanuatu","VUT","eez",6,"Vanuatu","VUT","VUT",4,"Vanuatu",59.1003581761,52.4250204064,618645.279671,0.666673502503545
8,"eez","Solomon Islands","SLB","eez",7,"Solomon Islands","SLB","SLB",5,"Solomon Islands",144.930931184,131.955479964,1598288.42879,11.8196898695838
9,"eez","Palau","PLW","eez",8,"Palau","PLW","PLW",6,"Palau",33.3962107125,49.4282329138,604246.416399,0.986195103372447
10,"eez","Micronesia","FSM","eez",9,"Micronesia","FSM","FSM",7,"Micronesia",92.4272097081,245.115749968,2992384.37229,4.39427790973277
11,"eez","Nauru","NRU","eez",10,"Nauru","NRU","NRU",8,"Nauru",19.0413004349,25.0748866192,308506.735698,0.993413798930123
12,"eez","Marshall Islands","MHL","eez",11,"Marshall Islands","MHL","MHL",9,"Marshall Islands",74.4187955355,164.636681565,1992076.81824,3.07019561064197
13,"eez","Wake Island","UMI","eez",12,"Wake Island","UMI","Wake Island",114,"USA Pacific Uninhabited Territories",21.6624513695,35.0531189455,407243.294149,0.935953599861823
14,"eez","Northern Mariana Islands and Guam","MNP","eez",13,"Northern Mariana Islands and Guam","MNP","MNP|GUM",111,"USA Pacific Inhabited Territories",40.8302575027,82.5764853588,970764.316808,2.38783039219212
15,"eez","Taiwan","TWN","eez",14,"Taiwan","TWN","TWN",10,"Taiwan",49.387261456,29.783953152,341307.69489,1.01489309510507
16,"eez","Philippines","PHL","eez",15,"Philippines","PHL","PHL",11,"Philippines",372.718334378,152.118713492,1823938.333,9.0398197146575
17,"eez","Papua New Guinea","PNG","eez",17,"Papua New Guinea","PNG","PNG",13,"Papua New Guinea",258.134529632,195.850284566,2392629.59258,16.8892726022471
18,"eez","Fiji","FJI","eez",18,"Fiji","FJI","FJI",14,"Fiji",109.005543949,109.522557911,1281199.39388,1.35860700337638
19,"eez","Tuvalu","TUV","eez",19,"Tuvalu","TUV","TUV",15,"Tuvalu",51.2169031445,61.7014342544,752093.99491,0.932227404109581
20,"eez","South Korea","KOR","eez",20,"South Korea","KOR","KOR",16,"South Korea",160.433444093,32.2164586743,324396.358511,1.16382520291372
21,"eez","North Korea","PRK","eez",21,"North Korea","PRK","PRK",17,"North Korea",55.9233714442,12.2121165409,115889.148587,1.5448331066221
22,"eez","Cambodia","KHM","eez",24,"Cambodia","KHM","KHM",18,"Cambodia",17.7735491028,3.93326174425,47663.1162659,0.0611888005689252
23,"eez","Thailand","THA","eez",25,"Thailand","THA","THA",19,"Thailand",85.1698268989,25.0962519525,304948.834302,0.400139001048519
24,"eez","Andaman and Nicobar","IND","eez",26,"Andaman and Nicobar","IND","Andaman and Nicobar",153,"India",62.6838003968,54.4319546755,659425.010905,0.832998102148413
25,"eez","Comoro Islands","COM","eez",28,"Comoro Islands","COM","COM",20,"Comoros",20.0658712553,13.6401461385,164625.00032,0.212653198612097
26,"eez","Mayotte","MYT","eez",29,"Mayotte","MYT","MYT",21,"French Indian Ocean Territories",11.7460860844,5.2525923849,62982.2302263,0.280139000234194
27,"eez","Glorioso Islands","ATF","eez",30,"Glorioso Islands","ATF","Glorioso Islands",21,"French Indian Ocean Territories",7.55479449156,3.60027754132,43431.2044428,0.0705408998066559
28,"eez","Seychelles","SYC","eez",31,"Seychelles","SYC","SYC",22,"Seychelles",55.6425317628,109.025643456,1331983.46473,3.14273180149146
29,"eez","Reunion","REU","eez",32,"Reunion","REU","REU",21,"French Indian Ocean Territories",22.3451414027,27.5175895093,315070.507236,0.34010710340277
30,"eez","Juan de Nova Island","ATF","eez",33,"Juan de Nova Island","ATF","Juan de Nova Island",21,"French Indian Ocean Territories",9.74551768835,5.28716174866,62205.2757555,0.0535440998664126
31,"eez","Bassas da India","ATF","eez",34,"Bassas da India","ATF","Bassas da India",21,"French Indian Ocean Territories",13.0232326558,10.5503973312,121556.786156,0.0746150999551173
32,"eez","Ile Europa","ATF","eez",35,"Ile Europa","ATF","Ile Europa",21,"French Indian Ocean Territories",13.6719122244,11.0561464145,125047.546771,0.100719900556142
33,"eez","Ile Tromelin","ATF","eez",36,"Ile Tromelin","ATF","Ile Tromelin",21,"French Indian Ocean Territories",18.1591302199,22.8090652714,270477.946038,0.320602600832935
34,"eez","Mauritius","MUS","eez",37,"Mauritius","MUS","MUS",23,"Mauritius",57.1053816493,108.141062819,1272769.51487,2.49397859967314
35,"eez","British Indian Ocean Territory","IOT","eez",38,"British Indian Ocean Territory","IOT","IOT",24,"British Indian Ocean Territory",28.9225141612,52.246812534,638566.135526,0.755083801480941
36,"eez","Maldives","MDV","eez",39,"Maldives","MDV","MDV",25,"Maldives",51.8021147308,74.5840771522,916018.78832,5.40875949713867
37,"eez","Sri Lanka","LKA","eez",40,"Sri Lanka","LKA","LKA",26,"Sri Lanka",52.8262692173,43.4155525122,530603.25254,3.12353719606996
38,"eez","Mozambique","MOZ","eez",41,"Mozambique","MOZ","MOZ",27,"Mozambique",93.673269816,49.6236860094,571516.882954,0.222283597891364
39,"eez","Madagascar","MDG","eez",42,"Madagascar","MDG","MDG",28,"Madagascar",147.026211797,104.550560024,1199949.69622,1.74591269798344
40,"eez","Kenya","KEN","eez",43,"Kenya","KEN","KEN",29,"Kenya",23.7723475458,9.08920224176,111663.169317,0.0705572997615673
41,"eez","Somalia","SOM","eez",44,"Somalia","SOM","SOM",30,"Somalia",68.5089081166,63.7744228455,779413.206688,0.883231597207341
