"rgn_id","fao_id","species","year","ram_bmsy","gapfilled","stockid_ram"
3,81,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
3,81,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
3,81,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
4,81,"Kajikia audax",2005,0.75,NA,"STMARLINSWPO"
4,81,"Kajikia audax",2006,0.76,NA,"STMARLINSWPO"
4,81,"Kajikia audax",2007,0.81,NA,"STMARLINSWPO"
4,81,"Kajikia audax",2008,0.85,NA,"STMARLINSWPO"
4,81,"Kajikia audax",2009,0.82,NA,"STMARLINSWPO"
4,81,"Kajikia audax",2010,0.81,NA,"STMARLINSWPO"
4,81,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
4,81,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
4,81,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
4,81,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
4,81,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
4,81,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
4,81,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
4,81,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
4,81,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
4,81,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
4,81,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
4,81,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
5,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
5,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
5,71,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
5,71,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
5,71,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
5,71,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
5,71,"Katsuwonus pelamis",2005,2.92,NA,"SKJCWPAC"
5,71,"Katsuwonus pelamis",2006,3.27,NA,"SKJCWPAC"
5,71,"Katsuwonus pelamis",2007,3.35,NA,"SKJCWPAC"
5,71,"Katsuwonus pelamis",2008,3.08,NA,"SKJCWPAC"
5,71,"Katsuwonus pelamis",2009,2.54,NA,"SKJCWPAC"
5,71,"Katsuwonus pelamis",2010,2.34,NA,"SKJCWPAC"
5,71,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
5,71,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
5,71,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
5,71,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
5,71,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
5,71,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
5,71,"Thunnus albacares",2005,1.27,NA,"YFINCWPAC"
5,71,"Thunnus albacares",2006,1.32,NA,"YFINCWPAC"
5,71,"Thunnus albacares",2007,1.42,NA,"YFINCWPAC"
5,71,"Thunnus albacares",2008,1.51,NA,"YFINCWPAC"
5,71,"Thunnus albacares",2009,1.5,NA,"YFINCWPAC"
5,71,"Thunnus albacares",2010,1.37,NA,"YFINCWPAC"
5,71,"Thunnus obesus",2005,1.27,NA,"BIGEYECWPAC"
5,71,"Thunnus obesus",2006,1.24,NA,"BIGEYECWPAC"
5,71,"Thunnus obesus",2007,1.18,NA,"BIGEYECWPAC"
5,71,"Thunnus obesus",2008,1.16,NA,"BIGEYECWPAC"
5,71,"Thunnus obesus",2009,1.11,NA,"BIGEYECWPAC"
5,71,"Thunnus obesus",2010,1.09,NA,"BIGEYECWPAC"
5,71,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
5,71,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
5,71,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
5,71,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
5,71,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
5,71,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
5,81,"Kajikia audax",2005,0.75,NA,"STMARLINSWPO"
5,81,"Kajikia audax",2006,0.76,NA,"STMARLINSWPO"
5,81,"Kajikia audax",2007,0.81,NA,"STMARLINSWPO"
5,81,"Kajikia audax",2008,0.85,NA,"STMARLINSWPO"
5,81,"Kajikia audax",2009,0.82,NA,"STMARLINSWPO"
5,81,"Kajikia audax",2010,0.81,NA,"STMARLINSWPO"
5,81,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
5,81,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
5,81,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
5,81,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
5,81,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
5,81,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
5,81,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
5,81,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
5,81,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
5,81,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
5,81,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
5,81,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
6,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
6,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
6,71,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
6,71,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
6,71,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
6,71,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
6,71,"Katsuwonus pelamis",2005,2.92,NA,"SKJCWPAC"
6,71,"Katsuwonus pelamis",2006,3.27,NA,"SKJCWPAC"
6,71,"Katsuwonus pelamis",2007,3.35,NA,"SKJCWPAC"
6,71,"Katsuwonus pelamis",2008,3.08,NA,"SKJCWPAC"
6,71,"Katsuwonus pelamis",2009,2.54,NA,"SKJCWPAC"
6,71,"Katsuwonus pelamis",2010,2.34,NA,"SKJCWPAC"
6,71,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
6,71,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
6,71,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
6,71,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
6,71,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
6,71,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
6,71,"Thunnus albacares",2005,1.27,NA,"YFINCWPAC"
6,71,"Thunnus albacares",2006,1.32,NA,"YFINCWPAC"
6,71,"Thunnus albacares",2007,1.42,NA,"YFINCWPAC"
6,71,"Thunnus albacares",2008,1.51,NA,"YFINCWPAC"
6,71,"Thunnus albacares",2009,1.5,NA,"YFINCWPAC"
6,71,"Thunnus albacares",2010,1.37,NA,"YFINCWPAC"
6,71,"Thunnus obesus",2005,1.27,NA,"BIGEYECWPAC"
6,71,"Thunnus obesus",2006,1.24,NA,"BIGEYECWPAC"
6,71,"Thunnus obesus",2007,1.18,NA,"BIGEYECWPAC"
6,71,"Thunnus obesus",2008,1.16,NA,"BIGEYECWPAC"
6,71,"Thunnus obesus",2009,1.11,NA,"BIGEYECWPAC"
6,71,"Thunnus obesus",2010,1.09,NA,"BIGEYECWPAC"
6,71,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
6,71,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
6,71,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
6,71,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
6,71,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
6,71,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
7,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
7,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
7,71,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
7,71,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
7,71,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
7,71,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
7,71,"Katsuwonus pelamis",2005,2.92,NA,"SKJCWPAC"
7,71,"Katsuwonus pelamis",2006,3.27,NA,"SKJCWPAC"
7,71,"Katsuwonus pelamis",2007,3.35,NA,"SKJCWPAC"
7,71,"Katsuwonus pelamis",2008,3.08,NA,"SKJCWPAC"
7,71,"Katsuwonus pelamis",2009,2.54,NA,"SKJCWPAC"
7,71,"Katsuwonus pelamis",2010,2.34,NA,"SKJCWPAC"
7,71,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
7,71,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
7,71,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
7,71,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
7,71,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
7,71,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
7,71,"Thunnus albacares",2005,1.27,NA,"YFINCWPAC"
7,71,"Thunnus albacares",2006,1.32,NA,"YFINCWPAC"
7,71,"Thunnus albacares",2007,1.42,NA,"YFINCWPAC"
7,71,"Thunnus albacares",2008,1.51,NA,"YFINCWPAC"
7,71,"Thunnus albacares",2009,1.5,NA,"YFINCWPAC"
7,71,"Thunnus albacares",2010,1.37,NA,"YFINCWPAC"
7,71,"Thunnus obesus",2005,1.27,NA,"BIGEYECWPAC"
7,71,"Thunnus obesus",2006,1.24,NA,"BIGEYECWPAC"
7,71,"Thunnus obesus",2007,1.18,NA,"BIGEYECWPAC"
7,71,"Thunnus obesus",2008,1.16,NA,"BIGEYECWPAC"
7,71,"Thunnus obesus",2009,1.11,NA,"BIGEYECWPAC"
7,71,"Thunnus obesus",2010,1.09,NA,"BIGEYECWPAC"
7,71,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
7,71,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
7,71,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
7,71,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
7,71,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
7,71,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
8,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
8,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
8,71,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
8,71,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
8,71,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
8,71,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
8,71,"Katsuwonus pelamis",2005,2.92,NA,"SKJCWPAC"
8,71,"Katsuwonus pelamis",2006,3.27,NA,"SKJCWPAC"
8,71,"Katsuwonus pelamis",2007,3.35,NA,"SKJCWPAC"
8,71,"Katsuwonus pelamis",2008,3.08,NA,"SKJCWPAC"
8,71,"Katsuwonus pelamis",2009,2.54,NA,"SKJCWPAC"
8,71,"Katsuwonus pelamis",2010,2.34,NA,"SKJCWPAC"
8,71,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
8,71,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
8,71,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
8,71,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
8,71,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
8,71,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
8,71,"Thunnus albacares",2005,1.27,NA,"YFINCWPAC"
8,71,"Thunnus albacares",2006,1.32,NA,"YFINCWPAC"
8,71,"Thunnus albacares",2007,1.42,NA,"YFINCWPAC"
8,71,"Thunnus albacares",2008,1.51,NA,"YFINCWPAC"
8,71,"Thunnus albacares",2009,1.5,NA,"YFINCWPAC"
8,71,"Thunnus albacares",2010,1.37,NA,"YFINCWPAC"
8,71,"Thunnus obesus",2005,1.27,NA,"BIGEYECWPAC"
8,71,"Thunnus obesus",2006,1.24,NA,"BIGEYECWPAC"
8,71,"Thunnus obesus",2007,1.18,NA,"BIGEYECWPAC"
8,71,"Thunnus obesus",2008,1.16,NA,"BIGEYECWPAC"
8,71,"Thunnus obesus",2009,1.11,NA,"BIGEYECWPAC"
8,71,"Thunnus obesus",2010,1.09,NA,"BIGEYECWPAC"
8,71,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
8,71,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
8,71,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
8,71,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
8,71,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
8,71,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
9,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
9,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
9,71,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
9,71,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
9,71,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
9,71,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
9,71,"Katsuwonus pelamis",2005,2.92,NA,"SKJCWPAC"
9,71,"Katsuwonus pelamis",2006,3.27,NA,"SKJCWPAC"
9,71,"Katsuwonus pelamis",2007,3.35,NA,"SKJCWPAC"
9,71,"Katsuwonus pelamis",2008,3.08,NA,"SKJCWPAC"
9,71,"Katsuwonus pelamis",2009,2.54,NA,"SKJCWPAC"
9,71,"Katsuwonus pelamis",2010,2.34,NA,"SKJCWPAC"
9,71,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
9,71,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
9,71,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
9,71,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
9,71,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
9,71,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
9,71,"Thunnus albacares",2005,1.27,NA,"YFINCWPAC"
9,71,"Thunnus albacares",2006,1.32,NA,"YFINCWPAC"
9,71,"Thunnus albacares",2007,1.42,NA,"YFINCWPAC"
9,71,"Thunnus albacares",2008,1.51,NA,"YFINCWPAC"
9,71,"Thunnus albacares",2009,1.5,NA,"YFINCWPAC"
9,71,"Thunnus albacares",2010,1.37,NA,"YFINCWPAC"
9,71,"Thunnus obesus",2005,1.27,NA,"BIGEYECWPAC"
9,71,"Thunnus obesus",2006,1.24,NA,"BIGEYECWPAC"
9,71,"Thunnus obesus",2007,1.18,NA,"BIGEYECWPAC"
9,71,"Thunnus obesus",2008,1.16,NA,"BIGEYECWPAC"
9,71,"Thunnus obesus",2009,1.11,NA,"BIGEYECWPAC"
9,71,"Thunnus obesus",2010,1.09,NA,"BIGEYECWPAC"
9,71,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
9,71,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
9,71,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
9,71,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
9,71,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
9,71,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
10,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
10,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
10,71,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
10,71,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
10,71,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
10,71,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
10,71,"Katsuwonus pelamis",2005,2.92,NA,"SKJCWPAC"
10,71,"Katsuwonus pelamis",2006,3.27,NA,"SKJCWPAC"
10,71,"Katsuwonus pelamis",2007,3.35,NA,"SKJCWPAC"
10,71,"Katsuwonus pelamis",2008,3.08,NA,"SKJCWPAC"
10,71,"Katsuwonus pelamis",2009,2.54,NA,"SKJCWPAC"
10,71,"Katsuwonus pelamis",2010,2.34,NA,"SKJCWPAC"
10,71,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
10,71,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
10,71,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
10,71,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
10,71,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
10,71,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
10,71,"Thunnus albacares",2005,1.27,NA,"YFINCWPAC"
10,71,"Thunnus albacares",2006,1.32,NA,"YFINCWPAC"
10,71,"Thunnus albacares",2007,1.42,NA,"YFINCWPAC"
10,71,"Thunnus albacares",2008,1.51,NA,"YFINCWPAC"
10,71,"Thunnus albacares",2009,1.5,NA,"YFINCWPAC"
10,71,"Thunnus albacares",2010,1.37,NA,"YFINCWPAC"
10,71,"Thunnus obesus",2005,1.27,NA,"BIGEYECWPAC"
10,71,"Thunnus obesus",2006,1.24,NA,"BIGEYECWPAC"
10,71,"Thunnus obesus",2007,1.18,NA,"BIGEYECWPAC"
10,71,"Thunnus obesus",2008,1.16,NA,"BIGEYECWPAC"
10,71,"Thunnus obesus",2009,1.11,NA,"BIGEYECWPAC"
10,71,"Thunnus obesus",2010,1.09,NA,"BIGEYECWPAC"
10,71,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
10,71,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
10,71,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
10,71,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
10,71,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
10,71,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
11,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
11,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
11,71,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
11,71,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
11,71,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
11,71,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
11,71,"Katsuwonus pelamis",2005,2.92,NA,"SKJCWPAC"
11,71,"Katsuwonus pelamis",2006,3.27,NA,"SKJCWPAC"
11,71,"Katsuwonus pelamis",2007,3.35,NA,"SKJCWPAC"
11,71,"Katsuwonus pelamis",2008,3.08,NA,"SKJCWPAC"
11,71,"Katsuwonus pelamis",2009,2.54,NA,"SKJCWPAC"
11,71,"Katsuwonus pelamis",2010,2.34,NA,"SKJCWPAC"
11,71,"Thunnus alalunga",2005,1.37,3,"ALBASPAC"
11,71,"Thunnus alalunga",2006,1.38,3,"ALBASPAC"
11,71,"Thunnus alalunga",2007,1.39,3,"ALBASPAC"
11,71,"Thunnus alalunga",2008,1.40000000000001,3,"ALBASPAC"
11,71,"Thunnus alalunga",2009,1.41000000000001,3,"ALBASPAC"
11,71,"Thunnus alalunga",2010,1.42000000000002,3,"ALBASPAC"
11,71,"Thunnus albacares",2005,1.27,NA,"YFINCWPAC"
11,71,"Thunnus albacares",2006,1.32,NA,"YFINCWPAC"
11,71,"Thunnus albacares",2007,1.42,NA,"YFINCWPAC"
11,71,"Thunnus albacares",2008,1.51,NA,"YFINCWPAC"
11,71,"Thunnus albacares",2009,1.5,NA,"YFINCWPAC"
11,71,"Thunnus albacares",2010,1.37,NA,"YFINCWPAC"
11,71,"Thunnus obesus",2005,1.27,NA,"BIGEYECWPAC"
11,71,"Thunnus obesus",2006,1.24,NA,"BIGEYECWPAC"
11,71,"Thunnus obesus",2007,1.18,NA,"BIGEYECWPAC"
11,71,"Thunnus obesus",2008,1.16,NA,"BIGEYECWPAC"
11,71,"Thunnus obesus",2009,1.11,NA,"BIGEYECWPAC"
11,71,"Thunnus obesus",2010,1.09,NA,"BIGEYECWPAC"
11,71,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
11,71,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
11,71,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
11,71,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
11,71,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
11,71,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
12,61,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
12,61,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
12,61,"Kajikia audax",2007,0.67,NA,"STMARLINWCNPAC"
12,61,"Kajikia audax",2008,0.6,NA,"STMARLINWCNPAC"
12,61,"Kajikia audax",2009,0.41,NA,"STMARLINWCNPAC"
12,61,"Kajikia audax",2010,0.35,NA,"STMARLINWCNPAC"
12,61,"Thunnus alalunga",2005,1.26,1,"ALBANPAC"
12,61,"Thunnus alalunga",2006,1.21,1,"ALBANPAC"
12,61,"Thunnus alalunga",2007,1.19,1,"ALBANPAC"
12,61,"Thunnus alalunga",2008,1.16,1,"ALBANPAC"
12,61,"Thunnus alalunga",2009,1.18,1,"ALBANPAC"
12,61,"Thunnus alalunga",2010,1.13699999999999,1,"ALBANPAC"
12,61,"Thunnus orientalis",2005,0.5,2,"PACBTUNA"
12,61,"Thunnus orientalis",2006,0.5,2,"PACBTUNA"
12,61,"Thunnus orientalis",2007,0.44,2,"PACBTUNA"
12,61,"Thunnus orientalis",2008,0.42,2,"PACBTUNA"
12,61,"Thunnus orientalis",2009,0.390000000000008,2,"PACBTUNA"
12,61,"Thunnus orientalis",2010,0.360000000000007,2,"PACBTUNA"
12,71,"Kajikia audax",2005,0.74,NA,"STMARLINWCNPAC"
12,71,"Kajikia audax",2006,0.73,NA,"STMARLINWCNPAC"
